RA,Dec,l,b,d,v_hel,v_gsr,v_err,Ks,J-Ks
4:31:10.419,34:48:12.34,165.836,-9.195,10.2,-42.1,4.2,3.5,9.32,1.06
4:50:25.204,20:17:54.46,180.024,-15.223,12.4,35.4,24.8,2.5,9.38,1.11
4:53:58.215,20:18:24.63,180.532,-14.551,10.1,8.7,-3.9,3.7,8.65,1.14
5:21:38.093,48:39:16.64,160.862,6.76,11.7,-65.0,2.9,3.5,8.76,1.16
5:22:57.189,47:31:11.96,161.935,6.306,11.4,-41.5,22.2,2.7,9.24,1.1
5:25:23.401,51:58:50.06,158.4,9.097,11.0,-88.1,-11.0,3.8,8.84,1.14
5:30:59.465,9:20:03.48,195.042,-13.189,10.1,18.0,-50.6,2.2,8.86,1.11
6:02:50.059,11:58:05.63,196.694,-5.096,11.1,63.7,-11.9,3.2,9.4,1.07
6:03:05.815,44:03:20.09,168.556,10.548,10.3,-63.4,-25.5,3.1,9.67,1.03
6:03:24.904,11:44:50.46,196.959,-5.08,12.3,36.8,-39.7,2.9,10.2,1.01
6:04:46.111,39:42:52.27,172.595,8.789,10.0,-34.6,-12.8,1.9,9.79,1.01
6:05:22.128,37:34:13.26,174.563,7.877,11.5,-20.9,-7.0,2.7,8.95,1.14
6:05:33.151,39:26:06.76,172.916,8.791,11.0,-18.6,1.9,2.8,9.56,1.06
6:10:56.938,-2:52:08.29,210.863,-10.318,10.1,75.1,-50.8,3.9,9.74,1.01
6:11:19.083,-5:37:43.64,213.415,-11.48,10.1,60.9,-73.0,3.8,9.71,1.02
6:11:37.397,-2:51:09.00,210.926,-10.159,12.6,79.5,-46.7,2.3,9.23,1.13
6:32:24.423,24:52:30.07,188.603,7.166,10.2,32.4,-10.0,3.0,8.97,1.1
6:32:55.664,20:53:03.77,192.242,5.473,12.8,5.9,-51.2,2.4,9.95,1.05
6:34:10.765,24:21:56.37,189.244,7.298,10.1,19.9,-25.0,4.4,9.41,1.05
6:34:33.030,22:12:40.50,191.222,6.409,12.8,0.7,-52.2,4.1,9.09,1.15
6:34:35.669,21:41:38.00,191.692,6.185,12.1,37.9,-16.9,2.4,8.94,1.15
6:34:39.985,23:23:27.96,190.176,6.962,10.9,-54.1,-102.7,2.2,9.2,1.09
7:07:18.547,10:27:53.39,205.351,8.243,12.9,68.0,-37.4,11.9,10.28,1.01
7:07:36.583,10:11:48.73,205.621,8.185,13.5,70.7,-35.7,2.8,9.65,1.09
7:07:43.841,13:19:52.82,202.785,9.586,10.5,69.2,-26.4,1.8,9.13,1.09
7:07:50.429,10:04:03.47,205.764,8.179,10.7,83.2,-23.7,2.9,9.17,1.09
7:08:53.947,11:16:16.18,204.786,8.943,13.8,70.5,-32.5,3.0,9.35,1.14
7:09:16.577,10:29:23.28,205.54,8.682,12.0,84.5,-21.3,2.7,10.13,1.01
7:31:46.221,59:36:18.11,157.333,28.17,10.2,-56.8,18.0,2.5,9.12,1.09
7:32:08.093,59:28:40.29,157.482,28.202,11.3,-78.9,-4.6,2.1,9.22,1.1
7:39:03.206,36:55:56.79,182.486,24.876,10.6,45.0,30.7,2.2,9.58,1.04
7:39:37.119,33:15:32.51,186.382,23.91,11.2,-6.8,-35.7,3.9,8.85,1.14
7:40:39.163,30:29:55.89,189.316,23.251,12.6,189.3,149.4,5.6,10.07,1.03
7:41:31.597,32:53:52.48,186.894,24.181,10.0,5.4,-25.3,3.7,9.26,1.07
7:41:38.225,30:09:42.05,189.741,23.345,12.7,0.2,-41.2,6.0,10.07,1.03
8:01:14.068,22:58:20.13,198.778,25.063,11.9,49.1,-23.3,2.5,8.95,1.15
8:05:33.902,20:25:36.05,201.802,25.098,12.2,35.0,-47.6,2.6,10.21,1.01
8:10:56.587,21:21:54.83,201.326,26.604,12.9,-9.9,-89.7,3.3,9.96,1.05
8:22:35.034,16:57:49.46,207.057,27.561,11.9,95.6,-1.8,3.3,10.06,1.02
8:26:03.875,22:47:20.98,201.158,30.386,12.8,13.0,-62.9,3.4,9.8,1.07
8:27:19.863,0:18:20.48,224.108,21.344,10.9,82.8,-71.1,3.4,8.81,1.14
8:31:21.579,-0:44:58.92,225.629,21.702,12.3,139.0,-18.3,1.8,9.1,1.14
8:33:25.605,-1:26:17.16,226.549,21.806,10.9,131.4,-28.2,1.9,9.92,1.01
8:33:28.879,-2:10:38.17,227.243,21.446,10.4,111.8,-49.9,2.3,9.16,1.09
8:33:49.285,1:28:47.93,223.851,23.333,10.7,102.7,-48.0,3.2,9.9,1.01
8:36:35.922,42:38:21.62,178.371,36.786,10.4,-19.7,-17.5,2.0,9.62,1.03
8:40:51.658,-3:04:09.44,229.087,22.575,10.9,124.1,-40.5,3.6,8.99,1.12
8:50:56.851,36:05:45.31,186.992,38.816,12.3,42.3,17.7,2.1,8.82,1.17
8:51:38.269,16:31:37.56,210.559,33.843,10.5,40.8,-59.7,2.4,9.35,1.07
8:53:46.274,6:04:27.98,221.989,29.9,12.3,86.1,-50.7,3.2,9.3,1.11
8:54:00.645,-1:47:08.77,229.751,26.05,11.3,-38.8,-200.1,2.7,9.47,1.07
8:54:58.887,-7:22:46.81,235.08,23.232,11.5,124.4,-52.4,2.3,9.78,1.04
9:04:00.110,6:19:30.25,223.126,32.262,11.8,55.1,-80.8,2.7,10.15,1.0
9:04:06.804,-3:19:44.36,232.721,27.359,10.6,134.1,-31.4,1.9,9.94,1.0
9:12:52.877,-1:23:08.45,232.217,30.255,10.0,121.0,-38.7,2.1,9.02,1.09
9:15:19.197,-12:12:45.25,242.568,24.484,11.2,255.1,66.9,1.4,10.05,1.0
9:18:46.835,-11:28:00.19,242.489,25.61,11.4,103.4,-82.9,2.4,9.19,1.11
